incident_date,airport_id,operator_id,operator,aircraft,species,damage,cost_repairs,remains_collected,remains_sent,incident_month,incident_year,time_of_day,time,runway,height,speed,phase_of_flight,ingested,effect,effect_other,sky,precipitation,birds_seen,birds_struck,size,warned,remarks,number_injuries,number_fatalities,damage_level
2000-03-05,KATL ,TRS,(TRS) AIRTRAN AIRWAYS,DC-9,Unknown bird - small,N,,FALSE,FALSE,3,2000,Night,,26L,5,160,Climb,FALSE,None,,No Cloud,None,,1,Small,Unknown,BIRD HIT CENTER WINDSHLD. LIGHT THUD WAS HEARD. CALLED MAINT &  DECIDED TO CONTD TO DESTINATION. (VPS) LOGBOOK ENTRY MADE.,,,1
2000-09-14,KATL ,1ASQ,(1ASQ) ATLANTIC SOUTHEAST,ATR-72,Unknown bird - medium,N,,FALSE,FALSE,9,2000,,,27L,6000,210,Approach,FALSE,None,,No Cloud,None,,1,Medium,No,,,,1
2007-05-31,KATL ,1ASQ,(1ASQ) ATLANTIC SOUTHEAST,UNKNOWN,Rock pigeon,,,TRUE,FALSE,5,2007,Day,08:55,9L,50,,Climb,FALSE,None,,Overcast,None,,1,Small,No,PILOT REPTD GIRDSTRIKE ON /TO. FOUND REMAINS. DEPTR ATIS SHOWS 2.5 MILES VISIBILITY IN SMOKE.,,,0
2000-04-09,KATL ,TRS,(TRS) AIRTRAN AIRWAYS,DC-9-30,Unknown bird - small,N,,FALSE,FALSE,4,2000,Day,,26R,75,127,Approach,FALSE,None,,No Cloud,None,2-10,1,Small,No,,,,1
2000-05-10,KATL ,1AWE,(1AWE) AMERICA WEST AIRLINES,A-320,Unknown bird - medium,N,,FALSE,FALSE,5,2000,Night,,26L,1500,200,Climb,FALSE,None,,No Cloud,None,,1,Medium,No,,,,1
2000-04-20,KATL ,AAL,(AAL) AMERICAN AIRLINES,B-727,Unknown bird - small,N,,FALSE,FALSE,4,2000,Dawn,,27R,100,160,Climb,FALSE,None,,No Cloud,None,,1,Small,No,BIRD WAS BLACK.,,,1
2000-04-07,KATL ,RYN,(RYN) RYAN INTL AIRLINES,B-727,Hawks,M,7500,FALSE,FALSE,4,2000,Night,,26R,600,140,Approach,FALSE,None,,No Cloud,None,2-10,1,Medium,No,FLT538. CAUGHT A FLASH OF 2 BIRDS  A SPLIT SECOND BEFORE IMPACT HEARD. RADOME DENTED. IT WAS REPLACED.,,,2
2000-02-20,KATL ,TRS,(TRS) AIRTRAN AIRWAYS,B-717-200,Unknown bird - large,N,,FALSE,FALSE,2,2000,Day,14:05,27L,1200,160,Approach,FALSE,None,,No Cloud,None,11-100,1,Large,No,Unknown bias reported as Snow goose on 5200-7 with no supporting information or name of person reporting. Unlikely to be a flock of snow geese in Atlanta in February.,,,1
2000-09-01,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Blackbirds,N,,FALSE,FALSE,9,2000,Day,,8L,10,135,Approach,FALSE,Other,EVASIVE MANUEVER,Overcast,Rain,11-100,2-10,Small,No,LANDED LONG,,,1
2000-09-08,KATL ,DAL,(DAL) DELTA AIR LINES,B-727,Unknown bird - medium,N,,FALSE,FALSE,9,2000,Night,22:56,8R,500,,Climb,FALSE,None,,,,,1,Medium,Unknown,FLT 2146 ATL-BAN REPTD A BIRD STRIKE. FLT CONTD W/O INCIDENT.,,,1
2000-03-14,KATL ,TRS,(TRS) AIRTRAN AIRWAYS,DC-9-30,Mallard,N,,FALSE,FALSE,3,2000,Night,,8L,1000,140,Approach,FALSE,None,,No Cloud,None,2-10,2-10,Medium,No,"BIRDS HIT BOTH MAIN GEAR, L WING & LWR FUSELAGE. DEBRIS FROM L  WING ENTERED #1 ENG BUT NO ABNORMAL INDICATIONS NOTED.",,,1
2000-04-26,KATL ,1ASQ,(1ASQ) ATLANTIC SOUTHEAST,CRJ100/200,Unknown bird - small,N,,FALSE,FALSE,4,2000,Night,,27R,2500,190,Climb,FALSE,Precautionary Landing,,No Cloud,None,,1,Small,No,FLT 779,,,1
2000-09-25,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Unknown bird - medium,N,,FALSE,FALSE,9,2000,Night,,26L,1500,220,Climb,FALSE,None,,No Cloud,None,,1,Medium,No,BIRD HIT OUTER GLARESHIELD AND SPLATTERED CO/P FWD WINDSHLD. LOG ENTRY MADE & INSPN SCHEDULED.,,,1
2000-05-01,KATL ,UAL,(UAL) UNITED AIRLINES,B-737-300,Unknown bird - medium,N,,FALSE,FALSE,5,2000,,,,,,Approach,FALSE,,,,,,1,Medium,Unknown,HIT ON FINAL APCH. INSPN.,,,1
2000-02-14,KATL ,UNK,(UNK) UNKNOWN,UNKNOWN,Red-tailed hawk,,,TRUE,TRUE,2,2000,Day,07:50,27L,0,,Landing Roll,FALSE,,,Some Cloud,None,,1,Medium,Unknown,BIRD ID BY CARLA DOVE @ SMITHSONIAN,,,0
2000-11-11,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Hawks,N,,FALSE,FALSE,11,2000,Night,,27L,300,140,Approach,FALSE,None,,No Cloud,None,1,1,Medium,No,,,,1
2000-08-31,KATL ,UAL,(UAL) UNITED AIRLINES,A-319,Unknown bird - small,N,,FALSE,FALSE,8,2000,,,,,170,Approach,FALSE,,,,,1,1,Small,Unknown,SML BIRD HIT JUST ABOVE CAPT WINDOW ONFINAL. INSPN.,,,1
2000-06-27,KATL ,BUS,(BUS) BUSINESS,BA-31 JETSTR,Unknown bird - medium,S,30000,FALSE,FALSE,6,2000,Day,07:08,26L,0,80,Landing Roll,TRUE,None,,Some Cloud,None,,2-10,Medium,No,2 BIRDS. INGESTION BENT COMPRESSOR BLADES.,,,4
2001-04-04,KATL ,USA,(USA) 1US AIRWAYS,FOKKER F100,Unknown bird - small,N,,FALSE,FALSE,4,2001,Day,09:15,9R,330,140,Approach,FALSE,None,,Some Cloud,None,1,1,Small,No,NO DMG,,,1
2000-10-24,KATL ,USA,(USA) 1US AIRWAYS,B-737-200,Unknown bird - medium,N,,FALSE,FALSE,10,2000,Night,,8L,2000,200,Approach,FALSE,None,,Some Cloud,None,,1,Medium,No,,,,1
2001-02-17,KATL ,DAL,(DAL) DELTA AIR LINES,B-727,Unknown bird - small,,,FALSE,FALSE,2,2001,Day,11:55,26R,0,,Landing Roll,FALSE,None,,Some Cloud,None,,1,Small,Unknown,"POSSIBLE DOVE. # STRUCK NOT REPTD, ASSUME 1.  PART STRUCK NOT REPTD. (DATA ENTRY NOTE: AIRLINE DATABASE HAD NOTHING ON THIS STRIKE)",,,0
2000-10-27,KATL ,DAL,(DAL) DELTA AIR LINES,B-757-200,Unknown bird - small,N,,FALSE,FALSE,10,2000,Dusk,19:30,27L,800,130,Approach,FALSE,None,,No Cloud,None,,1,Small,No,ALL LIGHTS WERE ON. FLT 598.,,,1
2000-01-03,KATL ,TRS,(TRS) AIRTRAN AIRWAYS,DC-9,Unknown bird - medium,M?,,FALSE,FALSE,1,2000,Day,,26L,1800,230,Climb,TRUE,Engine Shutdown,,Some Cloud,None,1,1,Medium,No,PREC. LDG. ENG SHUT DOWN. INGESTION. ENG VIBRATION.,,,3
2000-07-27,KATL ,DAL,(DAL) DELTA AIR LINES,B-757-200,Unknown bird - medium,,,FALSE,FALSE,7,2000,,,,,,Climb,TRUE,Precautionary Landing,,,,,1,Medium,Unknown,L ENG BEGAN TO SURGE DURING CLIMB. FOUND EVIDENCE OF BIRD INGESTION. DIVERTED TO RDU.,,,0
2000-07-19,KATL ,UPS,(UPS) UPS AIRLINES,B-727,Unknown bird - small,N,,FALSE,FALSE,7,2000,Dawn,,26L,900,200,Climb,FALSE,None,,Some Cloud,None,2-10,1,Small,Unknown,"# BIRDS STRUCK NOT REPTD, ASSUME 1.",,,1
2000-07-03,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Unknown bird - large,N,,FALSE,FALSE,7,2000,Night,,27R,4000,220,Climb,TRUE,Precautionary Landing,EMERGENCY DECLARED,Some Cloud,None,,2-10,Large,Unknown,FLT 2071. INGESTED BIRD ON TAKE-OFF CABIN FILLED WITH SMELL OF BURNED BIRD RETD TO ATL. EMERGENCY DECLARED. NO DMG HIT 2 BIRDS.,,,1
2000-07-09,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Unknown bird - small,N,,FALSE,FALSE,7,2000,Day,13:20,26R,75,140,Approach,FALSE,None,,Some Cloud,None,1,1,Small,Yes,"HEARD SOUND OF BIRD HITTING NOSE GEAR OR UNDERSIDE OF A/C. FOUND NO EVIDENCE, PERHAPS IT HIT TIRES.",,,1
2000-06-16,KATL ,ACA,(ACA) AIR CANADA,A-320,Unknown bird - medium,,,FALSE,FALSE,6,2000,,,,500,,Approach,FALSE,,,,,,1,Medium,Unknown," RWY REPTD AS 28R, NOT CORRECT.",,,0
2000-09-11,KATL ,UAL,(UAL) UNITED AIRLINES,B-737-300,Unknown bird - small,N,,FALSE,FALSE,9,2000,Dawn,,9L,0,120,Take-off Run,FALSE,None,,Some Cloud,None,1,1,Small,No,,,,1
2000-07-04,KATL ,DAL,(DAL) DELTA AIR LINES,B-757-200,Unknown bird - medium,N,,FALSE,FALSE,7,2000,Dusk,21:17,27R,7000,250,Climb,TRUE,Precautionary Landing,,Some Cloud,None,1,1,Medium,No,SEVERE IMPACT AND COMPRESSOR STALL. MAINT INSPN SUGGESTED POSSIBLE BIRD STRIKE. ATL-SJU FLT 2156. BORESCOPED HPC. OVERWT FOR LDTG. USED REPLACEMENT A/C FOR CREW AND PAX TO CONT FLT,,,1
2001-09-29,KATL ,TWA,(TWA) TRANS WORLD AIRLINES,MD-83,Unknown bird - medium,N,,FALSE,FALSE,9,2001,Night,23:45,,4000,210,Approach,FALSE,None,,No Cloud,None,,1,Medium,Unknown,INSPN FOUND BIRD STRUCK NOSE AND BOUNCED OFF THE WINDSHLD ON F/O'S SIDE. FROM SIZE OF MARKS I WOULD SAY IT WAS GULL-SIZE.,,,1
2000-05-11,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Blackbirds,N,,FALSE,FALSE,5,2000,Day,,26R,400,130,Approach,FALSE,None,,Some Cloud,None,,2-10,Small,No,DL 579,,,1
2000-09-22,KATL ,DHL,(DHL) ASTAR AIR CARGO,B-727-200,Unknown bird - medium,N,,FALSE,FALSE,9,2000,Night,,26R,1000,200,Approach,FALSE,None,,Some Cloud,Rain,1,1,Medium,No,,,,1
2000-10-29,KATL ,DAL,(DAL) DELTA AIR LINES,B-767-300,Unknown bird - small,N,,FALSE,FALSE,10,2000,Night,,9R,,,Approach,FALSE,None,,No Cloud,None,,1,Small,No,,,,1
2000-08-06,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,American crow,N,,FALSE,FALSE,8,2000,Day,,27R,0,150,Take-off Run,FALSE,None,,Some Cloud,None,2-10,1,Medium,No,,,,1
2000-10-15,KATL ,UAL,(UAL) UNITED AIRLINES,A-319,Unknown bird - medium,N,,FALSE,FALSE,10,2000,,,,700,,Approach,FALSE,None,,,,1,1,Medium,Unknown,HIT BOTTOM RT WINDSHLD. INSPN.,,,1
2000-08-30,KATL ,DAL,(DAL) DELTA AIR LINES,B-757-200,Unknown bird - medium,N,,FALSE,FALSE,8,2000,,,,,,Climb,TRUE,Precautionary Landing,,,,,1,Medium,Unknown,ENG SURGED. SUSPECT BIRD STRIKE,,,1
2001-08-30,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Sparrows,N,,FALSE,FALSE,8,2001,Day,17:45,27L,600,135,Approach,FALSE,None,,Overcast,None,1,1,Small,No,DL995. BIRD SEEN 5 SECONDS BEFORE IMPACT. NO EVASIVE MANEUVER DUE TO LOW ALTITUDE. BIRD HIT GLANCING BLOW OFF SIDE OF RADOME AND CO/P'S SIDE. NO DMG.,,,1
2000-10-26,KATL ,TRS,(TRS) AIRTRAN AIRWAYS,B-717-200,Unknown bird - medium,N,,FALSE,FALSE,10,2000,Night,20:50,9L,4500,230,Climb,FALSE,None,,No Cloud,None,,1,Medium,Yes,SOUND OF IMPACT INDICATED MED OR LRG BIRD. REMAINS VIS ON RADOME. SOME PAINT MISSING,,,1
2000-09-22,KATL ,DAL,(DAL) DELTA AIR LINES,B-757-200,Unknown bird - medium,N,,FALSE,FALSE,9,2000,Night,,27R,3000,220,Climb,FALSE,None,,No Cloud,Rain,1,1,Medium,No,,,,1
2000-10-07,KATL ,DAL,(DAL) DELTA AIR LINES,B-757-200,Unknown bird - large,N,,FALSE,FALSE,10,2000,Day,16:00,27L,4300,180,Approach,FALSE,None,,No Cloud,None,,1,Large,No,,,,1
2000-09-16,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Unknown bird - small,N,,FALSE,FALSE,9,2000,Dawn,,27L,30,125,Approach,FALSE,None,,No Cloud,None,,1,Small,No,,,,1
2001-03-22,KATL ,DAL,(DAL) DELTA AIR LINES,B-737-300,Unknown bird - medium,M?,,FALSE,FALSE,3,2001,,,,18500,310,Climb,FALSE,,,,,,1,Medium,Unknown,ATL-LIT. CO/PILOT'S WINDSHLD SHATTERED. ALSO REPTD AS CRACKED WINDSCREEN. SUSPECTED BIRD STRIKE. THERE WAS A LOUD POP AND THE COPILOTS OUTER PANE R1 CRACKED. ANOTHER UNIDENTIFIED SOUND WS HEARD ABOUT 5 SECONDS LATER. REPAIRED WINDSHLD AND WINDOW HEAT CONTROLLER.,,,3
2000-11-07,KATL ,COA,(COA) CONTINENTAL AIRLINES,B-737-300,Unknown bird - large,N,,FALSE,FALSE,11,2000,Night,,9R,50,110,Approach,FALSE,None,,Overcast,Rain,2-10,2-10,Large,No,FOG AND RAIN.,,,1
2001-04-13,KATL ,1AWE,(1AWE) AMERICA WEST AIRLINES,A-320,Unknown bird - medium,M?,,FALSE,FALSE,4,2001,Day,,26L,0,160,Take-off Run,TRUE,Precautionary Landing,,Some Cloud,Rain,2-10,2-10,Medium,No,POSSIBLE STARLINGS. 2 BIRDS WERE INGESTED INTO #1 ENG.,,,3
2000-08-27,KATL ,TRS,(TRS) AIRTRAN AIRWAYS,DC-9-30,Blackbirds,N,,FALSE,FALSE,8,2000,Day,,27L,0,110,Landing Roll,FALSE,None,,Some Cloud,None,1,1,Small,No,,,,1
2000-05-04,KATL ,BUS,(BUS) BUSINESS,LEARJET-25,Unknown bird - small,N,,FALSE,FALSE,5,2000,Night,,8R,5000,250,Climb,FALSE,None,,Some Cloud,,,1,Small,No,,,,1
2000-01-06,KATL ,TRS,(TRS) AIRTRAN AIRWAYS,DC-9-30,Rock pigeon,N,,FALSE,FALSE,1,2000,Day,,9L,0,80,Take-off Run,FALSE,Aborted Take-off,,Some Cloud,None,2-10,2-10,Small,No,,,,1
2001-10-09,KATL ,GOV,(GOV) GOVERNMENT,HUGHES 500,Unknown bird - medium,N,,FALSE,FALSE,10,2001,Night,,,150,40,Approach,FALSE,Precautionary Landing,,Some Cloud,None,,1,Medium,No,NO DMG. MADE PREC LDG AT HIGH SCHOOL.,,,1
2001-05-19,KATL ,UAL,(UAL) UNITED AIRLINES,B-727-200,Unknown bird - medium,N,,FALSE,FALSE,5,2001,,,,,,Approach,FALSE,,,,,,1,Medium,Unknown,ON FINAL. INSPN. NO DMG.,,,1
2001-08-16,KATL ,DAL,(DAL) DELTA AIR LINES,B-757-200,Unknown bird - medium,N,,FALSE,FALSE,8,2001,Dawn,06:50,8L,0,80,Landing Roll,FALSE,None,,Overcast,None,1,1,Medium,No,PILOT REPTD NO APPARENT DMG AND THAT MAINT WOULD FURTHER INSPCT.,,,1
2001-04-09,KATL ,1ASQ,(1ASQ) ATLANTIC SOUTHEAST,EMB-120,Unknown bird - large,N,,FALSE,FALSE,4,2001,Night,,27L,100,110,Approach,FALSE,None,,No Cloud,None,1,1,Large,No,,,,1
2000-11-10,KATL ,DAL,(DAL) DELTA AIR LINES,L-1011,Unknown bird - medium,N,,FALSE,FALSE,11,2000,,,27L,2000,180,Approach,FALSE,None,,No Cloud,None,,1,Medium,No,,,,1
2002-10-13,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Unknown bird - small,N,,FALSE,FALSE,10,2002,Night,,26L,1000,175,Climb,FALSE,None,,No Cloud,None,1,1,Small,No,,,,1
2000-09-27,KATL ,ABX,(ABX) ABX AIR,DC-8-63,Unknown bird - medium,N,,FALSE,FALSE,9,2000,Night,,,,,Approach,FALSE,None,,,,,1,Medium,Unknown,"ON FINAL, BIRD HIT LHS NOSE. INSPN.",,,1
2000-10-30,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Killdeer,M,35471,TRUE,TRUE,10,2000,Night,22:22,,,,,FALSE,None,,,,,1,Small,Unknown,FEATHER ID BY SMITHSONIAN. FLT 657 ATL-MCI,,,2
2001-08-29,KATL ,UAL,(UAL) UNITED AIRLINES,A-319,Unknown bird - medium,N,,FALSE,FALSE,8,2001,,,,,,Approach,FALSE,,,,,,1,Medium,Unknown,BIRD IT RHS A/C. NO DMG.,,,1
2001-10-15,KATL ,DAL,(DAL) DELTA AIR LINES,B-767-300,Unknown bird - small,N,,FALSE,FALSE,10,2001,Night,22:03,9R,400,126,Approach,FALSE,None,,No Cloud,None,1,1,Small,Yes,,,,1
2001-05-05,KATL ,ACA,(ACA) AIR CANADA,A-319,Unknown bird - medium,N,,FALSE,FALSE,5,2001,,,26R,500,,Approach,FALSE,,,,,1,1,Medium,Unknown,FLT 568. HIT L WINDSHLD. NO DMG.,,,1
2001-09-15,KATL ,DAL,(DAL) DELTA AIR LINES,B-767-300,Unknown bird - medium,N,,FALSE,FALSE,9,2001,Night,,8R,1500,170,Climb,FALSE,None,,No Cloud,None,,1,Medium,No,,,,1
2000-10-02,KATL ,MDW,(MDW) MIDWAY AIRLINES,CRJ100/200,Unknown bird - small,N,,FALSE,FALSE,10,2000,Day,,27R,100,140,Climb,FALSE,None,,Some Cloud,None,1,1,Small,Unknown,"JUST AFTER V1, BEFORE GEAR UP A SML BIRD CAUGHT BEHIND A 757'S WAKE",,,1
2001-10-13,KATL ,TRS,(TRS) AIRTRAN AIRWAYS,B-717-200,Rock pigeon,N,,FALSE,FALSE,10,2001,Day,,9R,1600,140,Approach,FALSE,None,,Some Cloud,None,1,1,Small,No,,,,1
2000-08-16,KATL ,DAL,(DAL) DELTA AIR LINES,B-727-200,Unknown bird - medium,N,,FALSE,FALSE,8,2000,Day,17:00,26R,150,140,Approach,FALSE,None,,No Cloud,None,1,1,Medium,No,ATIS WARNING ONLY. THIS IS HEARD SO OFTEN IT IS OFTEN DISREGARDED DUE TO OVERUSE.,,,1
2001-02-14,KATL ,1ASQ,(1ASQ) ATLANTIC SOUTHEAST,CL-601/604,Unknown bird - medium,N,,FALSE,FALSE,2,2001,,,,,140,Approach,TRUE,,,,,,1,Medium,Unknown,FINAL APCH. INGESTION.,,,1
2001-09-29,KATL ,TWA,(TWA) TRANS WORLD AIRLINES,MD-83,Unknown bird - medium,N,,FALSE,FALSE,9,2001,Night,23:45,8L,5000,210,Approach,FALSE,None,,No Cloud,None,,1,Medium,Unknown,"BIRD HIT NOSE ABOVE RADOME AND BOUNCED OFF WINDSHLD ON F/O SIDE. FROM SIZE OF MARKS, LOOKS LIKE GULL. COST FOR MECHANIC CALL-OUT.",,,1
2002-05-02,KATL ,ABX,(ABX) ABX AIR,DC-8-61,Unknown bird - small,N,,FALSE,FALSE,5,2002,Night,,26R,1500,150,Approach,FALSE,None,,Some Cloud,None,,1,Small,No,"BIRD STRIKE BTWN CAPT'S CLEARVIEW & EYEBROW WINDOWS. MADE A LOUD POP SOUND IN COCKPIT, BUT NO DMG. CLEANED & INSPCTD.",,,1
2001-09-02,KATL ,DAL,(DAL) DELTA AIR LINES,B-737,Unknown bird - medium,N,,FALSE,FALSE,9,2001,Night,,8R,5000,250,Climb,FALSE,None,,Some Cloud,Rain,,1,Medium,Unknown,LIGHT RAIN. NOISE WAS HEARD DURING INITIAL CLIMB BUT WER WERE UNSURE ABOUT THE SOURCE. DUIRNG POST FLT WALK AROUND A RED SMEAR WAS NOTED ON RADOME.,,,1
2002-09-01,KATL ,DAL,(DAL) DELTA AIR LINES,B-757-200,Blackbirds,N,,FALSE,FALSE,9,2002,Day,17:30,8L,400,132,Approach,FALSE,None,,Some Cloud,None,1,1,Small,Unknown,,,,1
2001-11-03,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Unknown bird - medium,N,,FALSE,FALSE,11,2001,,,,,,Climb,TRUE,Precautionary Landing,,,,,1,Medium,Unknown,RETD TO ATL AFTER SMOKE OR ACRID SMELL IN COCKPIT. MX FOUND BIRD REMAINS IN ENG. NO DMG.,,,1
2001-08-03,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Unknown bird - small,N,,FALSE,FALSE,8,2001,Night,22:45,26R,1500,135,Approach,FALSE,None,,Some Cloud,None,,1,Small,Unknown,LOUD POP HEARD ABOVE F/O'S HEAD. NOTHING SEEN. POST FLT FOUND RED SMEAR ABOVE WINDSHLD. REPTD TO MAINT. FLT 883,,,1
2002-03-01,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Unknown bird - medium,N,,FALSE,FALSE,3,2002,Day,,26R,10,135,Approach,FALSE,None,,No Cloud,None,1,1,Medium,No,,,,1
2001-08-22,KATL ,USA,(USA) 1US AIRWAYS,B-737-300,Unknown bird - medium,N,,FALSE,FALSE,8,2001,Dawn,07:39,9L,1500,230,Climb,FALSE,None,,No Cloud,None,,1,Medium,Unknown,,,,1
2002-05-02,KATL ,FDX,(FDX) FEDEX EXPRESS,B-727-100,Unknown bird - medium,N,,FALSE,FALSE,5,2002,Night,23:10,,2000,,Climb,FALSE,None,,,,,1,Medium,Unknown,MX INSPN NO DMG.,,,1
2001-01-22,KATL ,ACA,(ACA) AIR CANADA,A-319,Unknown bird - small,N,,FALSE,FALSE,1,2001,,,9R,1500,,Approach,FALSE,,,,,,1,Small,Unknown,BIRD HIT UNDERSIDE OF FUSELAGE. NO DMG. FLT 566,,,1
2002-05-20,KATL ,AAL,(AAL) AMERICAN AIRLINES,B-757-200,Unknown bird - medium,N,,FALSE,FALSE,5,2002,,,,,,Climb,FALSE,,,,,,1,Medium,Unknown,,,,1
2001-07-28,KATL ,UAL,(UAL) UNITED AIRLINES,A-319,Unknown bird - medium,N,,FALSE,FALSE,7,2001,,,,,,Approach,FALSE,,,,,,1,Medium,Unknown,BIRD STRIKE IN NOSE LDG GEAR AREA. INSPN. CLEANED.,,,1
2001-07-09,KATL ,UAL,(UAL) UNITED AIRLINES,A-319,Unknown bird - medium,N,,FALSE,FALSE,7,2001,,,,0,,Landing Roll,FALSE,,,,,,1,Medium,Unknown,INSPN. NO DMG.,,,1
2001-08-28,KATL ,1ASQ,(1ASQ) ATLANTIC SOUTHEAST,CRJ100/200,Sparrows,N,,FALSE,FALSE,8,2001,Dusk,,27R,275,170,Climb,FALSE,None,,No Cloud,None,1,1,Small,Unknown,FLT 691,,,1
2001-05-22,KATL ,DAL,(DAL) DELTA AIR LINES,B-727-200,Unknown bird - small,N,,FALSE,FALSE,5,2001,Day,11:05,26L,0,131,Take-off Run,FALSE,None,,Overcast,None,1,1,Small,Unknown,SAW BIRD APPROACHING WINDSCREEN THEN HEARD THUMP AS IT APPARENTLY HIT THE FUSELAGE. INSPN.,,,1
2002-11-12,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Unknown bird - large,N,,FALSE,FALSE,11,2002,Day,,26R,1000,210,Climb,FALSE,None,,Overcast,None,2-10,1,Large,No,NO DMG.,,,1
2001-09-09,KATL ,DAL,(DAL) DELTA AIR LINES,B-767-400,Unknown bird - small,N,,FALSE,FALSE,9,2001,Dawn,08:30,8L,1500,140,Approach,FALSE,None,,No Cloud,None,1,1,Small,No,NO DMG.,,,1
2002-07-06,KATL ,TRS,(TRS) AIRTRAN AIRWAYS,DC-9-30,Unknown bird - medium,N,,FALSE,FALSE,7,2002,Day,19:30,8L,500,140,Approach,FALSE,None,,No Cloud,None,1,1,Medium,No,TIME OUT OF SVC 1/2 HOUR,,,1
2002-01-27,KATL ,DAL,(DAL) DELTA AIR LINES,MD-88,Unknown bird - medium,N,,FALSE,FALSE,1,2002,,,,200,130,Approach,FALSE,,,,,,1,Medium,Unknown,FLT CREW REPTD BIRD STRIKE ON APCH. INSPN.,,,1
2002-09-25,KATL ,TRS,(TRS) AIRTRAN AIRWAYS,DC-9,Unknown bird - small,N,,FALSE,FALSE,9,2002,Day,,8L,0,100,Landing Roll,FALSE,None,,Overcast,Rain,1,1,Small,No,,,,1
